 ,X,Y
1,378,724
2,362,737
3,416,788
4,469,811
5,613,797
6,631,643
7,589,650
8,562,538
9,579,465
10,699,479
11,695,503
12,963,403
13,1198,462
14,1184,492
15,908,566
16,597,884
17,592,902
18,820,927
19,1008,874
20,1026,757
21,335,1076
22,327,1104
23,363,1252
24,557,1139
25,839,1351
26,894,1330
27,1054,1381
28,1207,1475
29,1124,1568
30,1004,1589
31,334,1856
32,370,1826
33,336,1992
34,528,1980
35,750,1949
36,849,1812
37,919,1956
38,1159,1899
39,1126,1953
40,1101,2005
41,1102,2124
42,1052,2206
43,881,2202
44,864,2147
45,623,2109
46,910,2215
47,709,2247
48,357,2447
49,709,2359
50,408,2542
51,511,2558
52,543,2538
53,628,2501
54,786,2435
55,825,2418
56,757,2482
57,761,2522
58,758,2537
59,863,2545
60,1105,2559
61,428,2711
62,461,2741
63,541,2814
64,368,2804
65,342,2855
66,639,2637
67,697,2651
68,674,2694
69,703,2704
70,685,2779
71,889,2647
72,943,2622
73,1067,2650
74,1134,2690
75,1036,2697
76,1202,2815
77,1221,2840
78,1122,2779
79,878,2797
80,901,2865
81,828,2934
82,1173,2974
83,1215,2981
84,501,3068
85,396,3106
86,360,3141
87,368,3270
88,396,3276
89,517,3231
90,557,3147
91,607,3139
92,638,3203
93,975,3172
94,711,3424
95,780,3411
96,783,3496
