 ,X,Y
1,4488,528
2,4615,566
3,5112,530
4,5082,697
5,4475,980
6,4524,945
7,4601,899
8,4523,1053
9,4577,986
10,4598,1088
11,4479,1235
12,4548,1237
13,4655,1238
14,4704,968
15,4909,1171
16,4988,1040
17,5284,874
18,5341,955
19,5291,1207
20,5123,1139
21,5064,1215
22,5113,1335
23,4746,1363
24,4735,1355
25,4832,1403
26,4854,1423
27,4563,1450
28,4607,1464
29,4471,1298
30,4476,1422
31,4505,1545
32,4554,1532
33,4481,1619
34,4515,1661
35,4576,1690
36,4627,1655
37,4724,1577
38,4958,1593
39,4951,1721
40,5260,1652
41,4695,1723
42,4638,1734
43,4549,1785
44,4495,1779
45,4586,1847
46,4472,2039
47,4632,1991
48,4713,2083
49,4814,2008
50,5022,2067
51,5178,1945
52,5263,2076
53,5288,2156
54,5293,2254
55,5024,2389
56,4709,2352
57,4687,2361
58,4564,2341
59,4566,2549
60,4781,2483
61,4652,2671
62,4776,2721
63,4898,2625
64,5011,2579
65,5000,2699
66,5055,2663
67,5261,2596
68,4541,2937
69,4610,2859
70,4553,3055
71,4670,2908
72,4716,2978
73,4780,3061
74,4849,2855
75,4928,2964
76,5015,2906
77,5016,2876
78,4554,3186
79,4535,3282
80,4761,3377
81,4842,3275
82,4860,3158
83,5006,3182
84,5149,3243
85,5244,3121
