 ,X,Y
1,4552,534
2,4598,543
3,5052,619
4,5168,526
5,5348,535
6,5271,642
7,5132,664
8,4599,807
9,4676,887
10,4719,890
11,4861,906
12,5008,891
13,5081,715
14,5199,785
15,5363,665
16,5351,791
17,5350,944
18,5281,893
19,5171,960
20,5139,1023
21,5334,1060
22,4996,999
23,4758,1060
24,4588,1086
25,5007,1128
26,4731,1181
27,4671,1201
28,4685,1263
29,4752,1287
30,4791,1317
31,4825,1281
32,5092,1181
33,5120,1300
34,5018,1333
35,5238,1343
36,4628,1488
37,5285,1396
38,5267,1411
39,5278,1424
40,5256,1457
41,5359,1581
42,5374,1605
43,4969,1612
44,4540,1811
45,4614,2037
46,4690,1954
47,4757,1845
48,4821,1908
49,4959,1976
50,5039,1954
51,5089,1928
52,5111,1902
53,5225,1856
54,5258,1800
55,5378,1848
56,5263,1926
57,5244,1886
58,5138,2040
59,5104,2107
60,5033,2115
61,4948,2084
62,4553,2220
63,4614,2123
64,4772,2179
65,4774,2297
66,4755,2327
67,4988,2409
68,5003,2382
69,5025,2388
70,5223,2291
71,5228,2317
72,5023,2456
73,5235,2448
74,5376,2419
75,5375,2476
76,5328,2614
77,5132,2536
78,5217,2618
79,5138,2737
80,4962,2763
81,4872,2651
82,4848,2631
83,4713,2619
84,4559,2746
85,4751,2716
86,4647,2948
87,4705,2919
88,4779,3013
89,4757,3084
90,4909,3010
91,5123,2891
92,5240,2894
93,5379,2970
94,5221,2926
95,5300,3072
96,5172,3038
97,5091,3025
98,5015,3046
99,4803,3257
100,4953,3231
101,4997,3191
102,5190,3173
103,4918,208
