 ,X,Y
1,2270,267
2,1932,351
3,1789,410
4,1727,468
5,1723,512
6,1728,559
7,1733,635
8,1768,629
9,1838,627
10,1859,552
11,1921,580
12,1932,519
13,1992,532
14,2015,578
15,2067,421
16,2080,404
17,2097,372
18,2131,430
19,2155,401
20,2240,370
21,2286,381
22,2295,381
23,2295,518
24,2452,520
25,2532,466
26,2593,407
27,2522,560
28,2537,627
29,2550,648
30,2461,599
31,2461,695
32,2537,703
33,2381,735
34,2224,685
35,2180,647
36,2014,661
37,1728,807
38,1721,813
39,1720,838
40,1724,859
41,1717,997
42,1774,1020
43,1818,974
44,1937,900
45,1999,821
46,2150,766
47,2143,811
48,2226,820
49,2544,865
50,2406,985
51,2278,964
52,2243,965
53,1754,1151
54,1852,1164
55,1900,1107
56,1932,1191
57,1989,1174
58,2006,1146
59,2022,1266
60,2109,1121
61,2132,1013
62,2203,1078
63,2274,1033
64,2293,1061
65,2346,1119
66,2319,1160
67,2493,1215
68,2568,1186
69,2401,1320
70,1808,1414
71,1759,1545
72,1757,1562
73,1783,1547
74,1831,1523
75,1878,1456
76,1932,1514
77,1859,1733
78,2166,1724
79,2282,1779
80,2411,1651
81,2392,1669
82,2551,1674
83,2600,1603
84,2599,1625
85,1727,1748
86,1769,1848
87,1770,1910
88,1816,1901
89,1747,2059
90,1891,2054
91,1910,2035
92,2056,2088
93,2032,2094
94,2051,2107
95,2218,1990
96,2423,1894
97,2437,1879
98,2403,2075
99,2445,2147
100,2301,2109
101,2279,2147
102,1811,2163
103,1949,2182
104,2017,2168
105,1923,2217
106,1927,2265
107,2042,2232
108,2070,2282
109,2097,2374
110,2064,2450
111,2262,2231
112,2299,2261
113,2451,2183
114,2392,2266
115,2424,2266
116,2495,2335
117,2436,2306
118,2287,2389
119,2322,2380
120,2309,2409
121,2463,2446
122,2488,2446
123,2517,2387
124,2598,2360
125,2605,2273
126,1993,2482
127,1867,2573
128,1852,2606
129,1737,2748
130,1791,2830
131,1991,2724
132,2098,2648
133,2302,2534
134,2399,2628
135,2385,2679
136,2441,2682
137,2510,2633
138,2332,2788
139,2598,2825
140,2541,2855
141,2522,2883
142,2485,3078
143,2118,2866
144,1909,2885
145,1821,2888
146,1805,2904
147,1811,2961
148,1714,3048
149,1860,2956
150,1908,2932
151,1912,3006
152,2034,3012
153,2051,2976
154,2080,2968
155,2019,3078
156,2064,3079
157,2093,3104
158,1820,3196
159,2071,3454
160,2130,3445
161,2187,3487
162,2259,3321
163,2252,3291
164,2474,3183
165,2494,3228
166,2434,3300
167,2565,3223
168,2569,3159
