 ,X,Y
1,4556,3323
2,4646,3196
3,5042,3423
4,5274,3284
5,5025,3216
6,5235,3124
7,4794,3019
8,5043,2913
9,4691,2766
10,4727,2613
11,4763,2639
12,4953,2720
13,5146,2639
14,5292,2558
15,5246,2505
16,4972,2507
17,4916,2481
18,4822,2459
19,4580,2467
20,4957,2430
21,4712,2288
22,5023,2219
23,5182,2265
24,4690,2107
25,5192,2031
26,5245,2029
27,4938,1963
28,4535,1894
29,4768,1849
30,4962,1873
31,4565,1666
32,4602,1699
33,4632,1681
34,4659,1582
35,4734,1539
36,4501,1493
37,4466,1403
38,4726,1417
39,4693,1384
40,4647,1301
41,4522,1215
42,4861,1415
43,4963,1412
44,4850,1333
45,4812,1251
46,4747,1137
47,5049,1234
48,5012,1201
49,4940,1168
50,4821,1150
51,4774,1064
52,5233,1093
53,5218,1066
54,4455,1062
55,4484,1082
56,4662,949
57,4730,901
58,4801,962
59,5074,998
60,5138,992
61,5072,930
62,4535,867
63,4720,855
64,4917,821
65,4904,745
66,4553,662
67,4723,541
68,4781,530
69,4881,526
70,4869,572
71,5235,491
72,4880,338
73,4958,357
74,4998,386
75,5042,387
