 ,X,Y
1,3574,269
2,3434,313
3,3261,398
4,3203,489
5,3107,575
6,3103,598
7,3120,603
8,3230,581
9,3260,558
10,3281,628
11,3341,616
12,3338,421
13,3442,411
14,3563,344
15,3700,382
16,3637,486
17,3672,490
18,3702,477
19,3716,553
20,3650,520
21,3686,605
22,3734,606
23,3758,626
24,3148,855
25,3156,835
26,3126,914
27,3137,900
28,3202,900
29,3245,866
30,3408,895
31,3597,773
32,3709,696
33,3840,717
34,3932,714
35,3825,799
36,3901,912
37,3821,888
38,3698,829
39,3451,1004
40,3246,1114
41,3249,1156
42,3396,1189
43,3439,1100
44,3512,1121
45,3609,1161
46,3659,1199
47,3745,1190
48,3760,1126
49,3883,1207
50,3883,1260
51,3231,1633
52,3256,1634
53,3348,1674
54,3567,1318
55,3605,1390
56,3782,1448
57,3875,1451
58,3916,1456
59,3972,1413
60,3957,1560
61,3766,1604
62,3585,1596
63,3423,1754
64,3677,1796
65,3741,1761
66,3769,1749
67,3799,1773
68,3878,1699
69,3851,1921
70,3835,1914
71,3780,1916
72,3719,1893
73,3283,1824
74,3229,1879
75,3219,1926
76,3288,2065
77,3439,2107
78,3617,2078
79,3613,2177
80,3693,2112
81,3784,2151
82,3866,2012
83,3914,2016
84,3125,2187
85,3120,2273
86,3126,2374
87,3114,2434
88,3171,2539
89,3192,2506
90,3284,2551
91,3339,2529
92,3389,2533
93,3373,2488
94,3343,2456
95,3340,2348
96,3349,2339
97,3857,2492
98,3858,2517
99,3120,2728
100,3242,2849
101,3254,2808
102,3445,2714
103,3317,2874
104,3485,2847
105,3639,2746
106,3778,2735
107,3111,2940
108,3147,3125
109,3240,3160
110,3265,3115
111,3347,3055
112,3330,2988
113,3339,2952
114,3404,2908
115,3439,3050
116,3566,3056
117,3685,3045
118,3692,2923
119,3774,2984
120,3875,2919
121,3943,2901
122,3966,2883
123,3520,3280
124,3566,3416
125,3633,3334
126,3685,3353
127,3951,3154
