 ,X,Y
1,368,385
2,571,372
3,667,681
4,1085,605
5,700,1047
6,651,1180
7,1158,1008
8,1144,1042
9,1155,1085
10,1149,1202
11,1044,1351
12,1101,1483
13,970,1552
14,348,1393
15,499,1989
16,1113,2172
17,838,2222
18,706,2249
19,543,2304
20,359,2532
21,501,2465
22,632,2492
23,818,2454
24,382,2667
25,431,2649
26,467,2621
27,534,2619
28,431,2760
29,817,2740
30,927,2642
31,965,2653
32,290,2904
33,309,2890
34,279,3112
35,420,3031
36,504,2958
37,518,3044
38,1047,2863
39,1019,2894
40,912,2933
41,893,2949
42,660,3059
43,650,3077
44,1150,2937
45,1098,3008
46,1013,3046
47,941,3020
48,906,3112
49,1064,3150
50,992,3180
51,988,3193
52,1040,3224
53,1087,3202
54,1122,3237
55,886,3254
56,595,3348
57,637,3276
58,798,3219
59,744,3183
60,761,3153
61,689,3139
62,662,3122
63,619,3158
64,615,3229
65,453,3213
