 ,X,Y
1,1928,438
2,2029,539
3,2522,382
4,2525,414
5,2558,514
6,2488,602
7,2460,613
8,2432,620
9,2283,617
10,2302,650
11,1864,685
12,1848,728
13,1686,730
14,1710,855
15,2036,747
16,2229,674
17,2301,776
18,2233,878
19,2543,924
20,2399,1086
21,2164,1038
22,2141,1056
23,1964,1086
24,1883,970
25,1734,972
26,1684,1275
27,1767,1333
28,1804,1448
29,2209,1095
30,2190,1229
31,2204,1321
32,2407,1190
33,1842,1700
34,1693,1838
35,1817,1843
36,1712,1942
37,1879,1955
38,2446,1794
39,2526,1992
40,2432,1997
41,2149,2195
42,2159,2232
43,1933,2152
44,1884,2230
45,1902,2280
46,2508,2348
47,2580,2384
48,2353,2477
49,2303,2569
50,2277,2578
51,2376,2638
52,1970,2643
53,1688,2636
54,1688,2728
55,1690,2764
56,1820,2727
57,1845,2773
58,1938,2782
59,1708,2854
60,1870,2931
61,1993,2985
62,2053,2861
63,2349,2910
64,2559,2886
65,2546,3022
66,2484,3042
67,2317,3003
68,2042,3068
69,1738,2993
70,1689,3260
71,1793,3204
72,1788,3242
73,1891,3232
74,1983,3334
75,2089,3275
76,2129,3503
77,2300,3354
78,2186,3221
79,2193,3169
80,2216,3145
81,2416,3147
82,2505,3176
83,2461,3225
84,2538,3256
