 ,X,Y
1,2130,263
2,2201,269
3,1909,397
4,1746,444
5,1718,462
6,2051,461
7,2492,419
8,2515,424
9,2461,627
10,2366,733
11,1965,709
12,1882,732
13,1786,727
14,1696,908
15,1736,912
16,1858,956
17,2131,896
18,2463,967
19,2498,778
20,2527,862
21,2526,954
22,2498,1128
23,2169,1083
24,2132,1135
25,2065,1216
26,1833,1191
27,1833,1236
28,1744,1160
29,1685,1131
30,1695,1163
31,1687,1210
32,1858,1356
33,2318,1216
34,2393,1232
35,2450,1306
36,2494,1438
37,2021,1632
38,1792,1586
39,1822,1847
40,1934,1917
41,1732,2061
42,1843,2025
43,1954,2030
44,1990,2038
45,2096,1930
46,2106,2033
47,2270,2044
48,2423,1758
49,2449,1790
50,2367,1799
51,2388,1827
52,2505,1873
53,2494,1902
54,2524,2187
55,2370,2137
56,2397,2265
57,2358,2238
58,2313,2238
59,1777,2157
60,1723,2332
61,1784,2347
62,1796,2412
63,1957,2319
64,1989,2280
65,2053,2461
66,2211,2401
67,2211,2445
68,2229,2505
69,2347,2454
70,1758,2687
71,1807,2874
72,1824,2835
73,1861,2779
74,1897,2786
75,1985,2764
76,1947,2802
77,1943,2868
78,1930,2944
79,2145,2947
80,2221,2818
81,2265,2708
82,2406,2792
83,2559,2864
84,1736,3125
85,1799,3097
86,1802,3169
87,1833,3074
88,1856,3167
89,1920,3085
90,2198,3066
91,2379,3146
92,2461,3254
93,2074,3377
94,1752,3302
