 ,X,Y
1,473,490
2,735,820
3,500,1109
4,686,1190
5,1203,1118
6,440,1303
7,544,1309
8,346,1323
9,546,1373
10,782,1271
11,1059,1436
12,1101,1471
13,717,1365
14,490,1510
15,683,1477
16,1172,1683
17,1184,1885
18,1098,1922
19,1107,1994
20,1027,2023
21,955,2026
22,892,1992
23,774,2005
24,694,1991
25,452,1990
26,398,2303
27,390,2332
28,554,2201
29,568,2401
30,716,2399
31,745,2289
32,731,2194
33,714,2187
34,814,2193
35,892,2149
36,936,2136
37,1088,2122
38,1216,2145
39,828,2253
40,802,2282
41,915,2279
42,883,2336
43,925,2378
44,1028,2331
45,1166,2544
46,1076,2543
47,1215,2660
48,1134,2590
49,985,2573
50,896,2581
51,807,2643
52,378,2461
53,496,2560
54,340,2779
55,389,2737
56,406,2743
57,464,2716
58,331,2821
59,430,2865
60,499,2869
61,1063,2679
62,984,2731
63,1041,2753
64,979,2795
65,1027,2830
66,1187,2898
67,349,2967
68,338,3040
69,406,3109
70,453,2949
71,539,2969
72,540,3059
73,902,3006
74,991,3001
75,947,3084
76,1016,3015
77,1047,3054
78,1103,3079
79,1199,3081
80,1206,3131
81,1140,3180
82,1158,3235
83,474,3202
84,646,3172
85,706,3331
86,667,3380
87,673,3440
88,694,3452
89,713,3396
90,858,3454
91,331,2893
