 ,X,Y
1,3352,333
2,3095,413
3,3133,436
4,3107,619
5,3262,561
6,3391,558
7,3746,390
8,3848,571
9,3424,639
10,3340,736
11,3282,741
12,3220,706
13,3161,772
14,3190,1002
15,3310,961
16,3320,939
17,3423,858
18,3730,904
19,3271,1045
20,3295,1122
21,3085,1231
22,3183,1201
23,3204,1275
24,3556,1149
25,3833,1207
26,3365,1419
27,3486,1346
28,3785,1303
29,3834,1399
30,3735,1490
31,3533,1549
32,3170,1590
33,3439,1757
34,3346,1903
35,3269,2003
36,3255,2032
37,3297,2092
38,3405,2093
39,3629,2037
40,3660,1956
41,3844,1890
42,3738,2009
43,3693,2128
44,3325,2196
45,3062,1962
46,3045,2270
47,3149,2407
48,3185,2300
49,3246,2370
50,3293,2304
51,3361,2345
52,3484,2370
53,3767,2336
54,3883,2464
55,3746,2452
56,3868,2556
57,3288,2540
58,3212,2473
59,3052,2511
60,3175,2702
61,3210,2659
62,3197,2809
63,3284,2777
64,3322,2735
65,3348,2743
66,3466,2680
67,3572,2804
68,3733,2735
69,3755,2867
70,3679,2965
71,3058,2927
72,3079,2945
73,3090,3020
74,3105,3013
75,3152,3030
76,3198,2984
77,3203,3063
78,3218,3102
79,3175,3285
80,3249,3194
81,3331,3264
82,3336,3171
83,3345,3361
84,3483,3246
85,3466,3135
86,3583,3154
87,3583,3209
88,3598,3261
89,3568,3307
90,3696,3164
91,3838,3200
92,3892,3249
93,3882,3285
94,3741,3312
95,3458,3482
