,Area,Convex Area,Major_axis_length,Plate_id,Well_id,bbox,centroid
1225,371,525,47.00066498034192,DEC_P4,Q,"(3029, 135, 3073, 150)","(3051.6792452830186, 141.14285714285714)"
1226,372,501,47.45719875959885,DEC_P4,Q,"(3029, 166, 3073, 184)","(3051.9059139784945, 175.98387096774192)"
1227,371,486,45.4053909595115,DEC_P4,Q,"(3050, 428, 3093, 444)","(3071.9029649595686, 436.07816711590294)"
1228,363,480,44.583794209621715,DEC_P4,Q,"(3076, 500, 3115, 519)","(3094.349862258953, 508.2258953168044)"
1229,290,369,33.967009975821725,DEC_P4,Q,"(3106, 132, 3121, 163)","(3111.88275862069, 146.65862068965518)"
1230,275,371,41.48958310655815,DEC_P4,Q,"(3158, 138, 3196, 153)","(3175.8545454545456, 146.40727272727273)"
1231,381,521,38.138220905274935,DEC_P4,Q,"(3236, 570, 3258, 607)","(3246.8215223097113, 587.8608923884515)"
1232,294,440,42.931189014572304,DEC_P4,Q,"(3262, 404, 3293, 435)","(3277.374149659864, 417.9625850340136)"
1233,285,402,33.63676960496522,DEC_P4,Q,"(3340, 510, 3369, 533)","(3352.182456140351, 522.2070175438596)"
1234,440,614,54.50808253068562,DEC_P4,R,"(265, 898, 283, 947)","(273.6159090909091, 919.9227272727272)"
1235,107,125,18.55831198941226,DEC_P4,R,"(288, 899, 306, 908)","(295.01869158878503, 903.1121495327103)"
1236,215,331,36.43217734780081,DEC_P4,R,"(316, 321, 343, 346)","(330.71627906976744, 333.2604651162791)"
1237,346,468,42.19831840601997,DEC_P4,R,"(416, 428, 456, 445)","(434.67630057803467, 435.29479768786126)"
1238,373,507,47.93657559588335,DEC_P4,R,"(474, 876, 511, 906)","(491.3217158176944, 889.8793565683646)"
1239,311,397,44.72823256990951,DEC_P4,R,"(485, 852, 524, 873)","(503.9967845659164, 861.8810289389068)"
1240,358,513,41.61687722381995,DEC_P4,R,"(497, 669, 517, 708)","(506.9413407821229, 689.2513966480446)"
1241,281,367,35.4407214788616,DEC_P4,R,"(498, 825, 528, 844)","(511.1743772241993, 834.8861209964413)"
1242,270,372,37.218787369679376,DEC_P4,R,"(529, 691, 554, 719)","(542.0370370370371, 703.8333333333334)"
1243,380,496,53.78745701666507,DEC_P4,R,"(552, 262, 600, 276)","(577.3236842105263, 267.4736842105263)"
1244,364,517,47.37542942828905,DEC_P4,R,"(559, 615, 581, 655)","(569.7307692307693, 634.304945054945)"
1245,250,303,25.15418124299469,DEC_P4,R,"(608, 247, 627, 268)","(618.672, 255.772)"
1246,132,179,24.24493705176338,DEC_P4,R,"(619, 83, 632, 105)","(624.3030303030303, 93.0)"
1247,354,491,48.42787600172808,DEC_P4,R,"(619, 431, 663, 448)","(640.1355932203389, 438.76553672316385)"
1248,361,529,48.40713260017392,DEC_P4,R,"(644, 693, 691, 709)","(667.831024930748, 699.8808864265928)"
1249,311,450,45.79672969901235,DEC_P4,R,"(728, 110, 770, 127)","(748.5273311897106, 118.07717041800643)"
1250,350,547,48.50046957171604,DEC_P4,R,"(745, 633, 787, 657)","(765.5857142857143, 644.2885714285715)"
1251,411,616,52.43844992708438,DEC_P4,R,"(789, 928, 833, 958)","(811.5255474452555, 943.294403892944)"
1252,343,446,51.21312320920265,DEC_P4,R,"(844, 135, 891, 147)","(867.7172011661808, 140.40233236151605)"
1253,406,570,46.62804241572931,DEC_P4,R,"(851, 267, 883, 303)","(864.9384236453202, 283.57635467980293)"
1254,729,1458,61.39483436301504,DEC_P4,R,"(923, 539, 974, 583)","(940.838134430727, 555.0658436213992)"
1255,356,498,45.59043889744784,DEC_P4,R,"(964, 348, 988, 386)","(975.6320224719101, 366.71629213483146)"
1256,423,622,47.40536921820048,DEC_P4,R,"(971, 598, 1003, 635)","(988.1229314420804, 615.4775413711584)"
1257,379,537,44.946195966131356,DEC_P4,R,"(975, 780, 997, 821)","(984.2770448548813, 800.8416886543536)"
1258,407,572,53.29041532003667,DEC_P4,R,"(1060, 798, 1103, 826)","(1079.1105651105652, 810.5823095823096)"
1259,327,425,37.68750377449733,DEC_P4,R,"(1106, 589, 1140, 604)","(1122.7645259938838, 595.7400611620795)"
1260,163,225,29.97953975763554,DEC_P4,R,"(1157, 84, 1182, 98)","(1169.9570552147238, 89.49693251533742)"
1261,422,599,48.38111457259729,DEC_P4,R,"(1197, 595, 1240, 615)","(1217.9857819905212, 605.6469194312796)"
1262,353,490,42.812252445918304,DEC_P4,R,"(1209, 154, 1243, 183)","(1227.1189801699716, 169.05099150141643)"
1263,405,518,48.86475281293382,DEC_P4,R,"(1326, 188, 1351, 230)","(1337.6320987654321, 208.7530864197531)"
1264,398,607,47.14059097328355,DEC_P4,R,"(1572, 238, 1612, 257)","(1589.7386934673366, 246.0929648241206)"
